,galaxy_id,obs_id,delta,mjd,flujo,flujo err,mag,mag_err,img_id,psf obs,seeing convolucion,AGN_frac,residuo,residual rms,flujo pre,flujo err pre,mag pre,mag_err pre
57,175,2,0.2,57070.21393502304,6333.067625579835,54.86680501277455,20.43371030198763,0.00941256756413928,410961,1.0383677507719156,3.890420032248745,0.2172435717771009,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.0,6333.067625579835,54.86680501277455,20.43371030198763,0.00941256756413928
58,175,3,0.2,57070.28257967249,2254.6172630310057,44.35762346286779,21.529481699908054,0.021363373166575838,411011,1.0186706055065107,4.898207090643636,0.29221548110552664,"[[-4.7119865  -9.172572    6.710495   ... -5.6993794  -5.4592752
   3.8968565 ]
 [ 0.18615639  5.326984    5.5393767  ... -4.4640174  -4.031674
   0.18189442]
 [-1.7095826   4.702696    1.8117989  ...  3.989356    2.973704
   5.7796993 ]
 ...
 [ 0.46945584 -4.6151066   4.952091   ... -1.2640197   8.07663
  -3.0075676 ]
 [-5.80001    -2.9160433   7.2046843  ... -9.309761   -5.4773564
   1.2242424 ]
 [-1.1577823   1.9277432  -0.09542769 ...  4.1863956  18.472528
  -4.3343487 ]]",19.181896,7063.650719299319,56.63986347630733,20.289590729127262,0.008712013145810884
59,175,4,0.2,57071.05728660731,2520.3770776367196,46.11510457025427,21.31845173916743,0.01986836425324016,411245,1.0246524242937844,5.29173893088491,0.23255280253157912,"[[ -1.0394362    1.4102821    1.5263613  ...  -1.512366    -5.473794
   11.1450405 ]
 [-11.274037    -0.15260267  -8.005169   ...   2.5648699    7.1723213
    1.031697  ]
 [  1.8651315    6.742169    -2.9444635  ...  -0.27601564   5.0066032
    4.09189   ]
 ...
 [ -4.0156827   -3.1501148   -9.4758005  ...   3.6523643    1.340385
    4.303343  ]
 [ 13.178491    -2.8430316   14.072978   ...   0.43016434 -12.526033
    8.76318   ]
 [ -8.846954     9.7363615   -5.9071045  ...  -3.0495281   -1.6345937
    6.8019524 ]]",15.981972,6445.954557952881,56.130583763663985,20.29889744314709,0.00946023511107473
60,175,5,0.2,57071.12506984007,2736.2210913848885,45.68417273969292,21.317043994797466,0.01813112944070194,411295,0.9012928072747344,4.8580310266128075,0.2522037291418711,"[[ 2.2496789  -8.2741585   1.2938796  ... 12.181225   -8.589278
   0.1899848 ]
 [-1.2986426   1.9187528   3.3422453  ... -3.7191982   5.581191
   3.4730098 ]
 [ 3.4177585   7.6951213  -2.2655854  ... -1.7999357  -2.9938145
   1.2057744 ]
 ...
 [ 1.7382042   0.6551729  -5.0409107  ... -1.1694871  -0.30600142
   3.5965314 ]
 [-1.6002198   0.26265728 -7.3282557  ... -6.7022753  -4.922101
   1.2155629 ]
 [-0.9359906  -4.241      11.32777    ...  6.068639   -3.0165606
   2.4809256 ]]",17.239077,6829.266480560303,56.09784591753152,20.32398681186088,0.008925886281278701
61,175,6,0.2,57071.19277698471,4216.818304290771,49.32723493833619,20.876412830526707,0.012705370510046518,411345,0.7748601175405739,4.545674967268841,0.24096844224549074,"[[  4.388127    -9.193794    -3.2137523  ...  -2.4627166   -4.4439855
    1.4780083 ]
 [  5.3222537   -1.4695878   -4.5846996  ...  -2.0718307    0.8638792
    3.159716  ]
 [ -7.624197   -10.308732    -2.488756   ...   6.264041    -3.3687377
   -2.3193429 ]
 ...
 [  1.1452341    3.2685637   -0.34289765 ...   6.779951    -4.64383
   -1.0621033 ]
 [ -3.0925121    4.359194     5.5591364  ...   3.5576968   -1.7588398
    2.915399  ]
 [ -3.2410536   -4.1200724    4.226742   ...  -6.86758      0.43369055
    7.5430536 ]]",14.212246,6998.422918777466,56.08074225408751,20.326374592477144,0.008707251938234904
62,175,7,0.2,57071.26271199265,3948.362850189209,49.202276365357825,20.92472042551561,0.01353425746561866,411396,0.8352701635407411,4.656330874527633,0.2590401030633266,"[[  1.8717294   -6.2205796    2.5204678  ...  -4.0479264    1.330372
   -1.0650735 ]
 [  3.0502505   -6.7587094    1.145096   ...  -7.891573     2.5745173
    2.0395446 ]
 [  1.0412344   -2.8356087   -1.0761406  ...  -1.4082445    3.0289931
    3.6586504 ]
 ...
 [ -0.6624751    5.2922716    1.6214483  ... -16.912594     7.6102533
   -2.2135031 ]
 [  7.727769     6.539942    -2.233808   ...   3.3636174   11.668986
    0.8748598 ]
 [  4.887428    -2.702281     0.21266866 ...   5.0951514   -7.587238
    1.3780403 ]]",15.195126,7241.721336364745,57.137638573280235,20.26615854550625,0.008573512302424424
63,175,8,0.2,57071.33166989243,2679.846646575929,46.077659805203815,21.26086501761829,0.01867144262616385,411446,1.0110760632741234,5.094030425424431,0.25561846112672254,"[[  2.322627     1.3719182    3.2106357  ...  -1.3834437    0.52691746
   11.731112  ]
 [-12.013316    -3.133809     1.6425619  ...  -6.510236    -1.1992961
   -2.350627  ]
 [  0.6622689    1.3983972   -1.8620758  ...   5.0491643    9.728623
   -1.3870108 ]
 ...
 [ -6.2370725    0.5937361    6.5191755  ...   3.59803     15.133757
   -0.09807783]
 [ -1.501572    -0.9864277    6.31101    ...  -5.0184274    4.7165103
   -4.7086973 ]
 [ -0.9040269   11.426793    -9.222084   ... -12.623973     1.3464789
   -7.6281977 ]]",16.777777,6804.283116302491,56.472161802493254,20.249183934345712,0.009017576878024612
64,200,1,0.2,57070.12849006801,2289.3706459045416,45.25032858127051,21.530527378791817,0.021462238002905126,410905,1.0152919621046252,5.0374919084733865,0.178490507490751,"[[ -4.0588493    7.0193963   11.439792   ...  -1.7482324   -5.276683
    6.7608056 ]
 [ -1.061153    -1.47755     -1.5679177  ...  13.280858    -3.4459486
   -8.494595  ]
 [  1.6845629    3.2006984    1.2885926  ...   1.5027089    8.81691
    0.46357477]
 ...
 [ -3.0893936    2.3412495   -1.3551991  ...   3.7413688    4.2196155
    0.95579934]
 [  3.4000258   13.543905    13.995568   ...  -4.8501163   -5.6759176
   11.388187  ]
 [  3.2724447    5.804559   -12.01199    ...   0.13218045  -1.1745182
    9.141882  ]]",22.982666,8173.659455413819,59.70656778812259,20.1487763052466,0.007937058374293093
65,200,2,0.2,57070.21393502304,8237.610252380371,59.327168022048774,20.148242515172058,0.007826970115583299,410961,1.0383677507719156,3.6529487679641326,0.18374278134200173,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.0,8237.610252380371,59.327168022048774,20.148242515172058,0.007826970115583299
66,200,3,0.2,57070.28257967249,2435.393140716553,44.912068983504,21.445741073528314,0.020025127244822583,411011,1.0186706055065107,4.820319140084723,0.1545697882679612,"[[-7.988112    8.418532   13.319882   ...  4.5999336   2.8272362
   4.15932   ]
 [ 8.580816   -2.050388   12.962344   ... -0.20995629 -1.1666403
  -1.5609219 ]
 [-3.5684986  -9.041913   -2.6943412  ... -4.325839    1.3869104
  -6.080581  ]
 ...
 [ 5.7974615   0.7617347  -2.476521   ... -0.7095358  -2.9462523
  -6.071275  ]
 [ 2.8353598   7.9722033   4.1567655  ...  0.11537787  0.10524596
   6.5006804 ]
 [10.506569    8.077431    0.6527045  ...  3.293661    0.7274293
  -4.021961  ]]",20.855738,7776.904002685548,58.31730555743516,20.185146924556612,0.008148157557783656
